어벤져스: 엔드게임,https://movie-phinf.pstatic.net/20190417_250/1555465284425i6WQE_JPEG/movie_image.jpg?type=m203_290_2,9.38,"['액션', 'SF']","['어벤져스', '엔드게임', '인피니티', '워', '마블', '영화', '관객', '수', '흥행', '스튜디오', '기록', '루소', '시리즈', '전', '스토리']",안소니 루소,"['로버트 다우니 주니어', '크리스 에반스', '크리스 헴스워스', '마크 러팔로', '스칼렛 요한슨']"
토이 스토리 3,https://movie-phinf.pstatic.net/20111223_166/1324619308419RAp5L_JPEG/movie_image.jpg?type=m203_290_2,9.38,"['애니메이션', '모험', '코미디', '가족', '판타지']","['앤디', '토이', '집', '자신', '어린이집', '장난감', '우디', '가장', '엄마', '사실', '끝', '주인', '이상', '음모', '생애']",리 언크리치,"['톰 행크스', '팀 알렌', '조앤 쿠삭', '네드 비티', '돈 리클스']"
센과 치히로의 행방불명,https://movie-phinf.pstatic.net/20150113_96/1421113909808LPjqA_JPEG/movie_image.jpg?type=m203_290_2,9.37,"['애니메이션', '판타지', '모험', '가족']","['치히로', '세계', '금지', '신들', '인간', '소년', '하쿠', '시작', '말', '위해', '걱정', '초유', '이사', '힘', '사상']",미야자키 하야오,"['히이라기 루미', '이리노 미유', '나츠키 마리', '나이토 타카시', '사와구치 야스코']"
위대한 쇼맨,https://movie-phinf.pstatic.net/20171218_47/1513561221134wvRja_JPEG/movie_image.jpg?type=m203_290_2,9.37,"['드라마', '뮤지컬']","['쇼맨', '잭맨', '영화', '뮤지컬', '수', '안무', '관객', '의상', '젠다야', '위해', '대한', '론', '퍼거슨', '에프', '레베카']",마이클 그레이시,"['휴 잭맨', '잭 에프론', '미셸 윌리엄스', '레베카 퍼거슨', '젠다야 콜맨']"
클래식,https://movie-phinf.pstatic.net/20111222_233/1324486884038nu8Xk_JPEG/movie_image.jpg?type=m203_290_2,9.37,"['멜로/로맨스', '드라마']","['주희', '사랑', '영화', '지혜', '클래식', '과거', '소품', '현재', '팀', '상민', '수', '또한', '편지', '필터', '자신']",곽재용,"['손예진', '조승우', '조인성', '이기우', '서영희']"
죽은 시인의 사회,https://movie-phinf.pstatic.net/20160811_237/1470893687476y2lJU_JPEG/movie_image.jpg?type=m203_290_2,9.37,['드라마'],"['선생', '키팅', '캡틴', '학교', '인생', '서클', '사회', '미국', '새', '규율', '개강', '충격', '참여', '카르', '이야기']",피터 위어,"['로빈 윌리엄스', '로버트 숀 레오나드', '에단 호크', '조쉬 찰스', '게일 핸슨']"
아이 캔 스피크,https://movie-phinf.pstatic.net/20170908_108/1504837489518BdEBl_JPEG/movie_image.jpg?type=m203_290_2,9.37,['드라마'],"['배우', '캔', '피크', '아이', '영화', '위안부', '일본군', '나문희', '연기', '할머니', '통해', '피해자', '의회', '수', '전']",김현석,"['나문희', '이제훈', '박철민', '염혜란', '이상희']"
레옹,https://movie-phinf.pstatic.net/20180614_21/1528939162378wtwMm_JPEG/movie_image.jpg?type=m203_290_2,9.37,"['범죄', '액션', '드라마']","['레옹', '영화', '관객', '개봉', '킬러', '프랑스', '배우', '세계', '장', '베송', '소녀', '등', '마틸다', '네이버', '감독']",뤽 베송,"['장 르노', '나탈리 포트만', '게리 올드만', '대니 에일로', '마이클 바다루코']"
반지의 제왕: 왕의 귀환,https://movie-phinf.pstatic.net/20170112_240/1484183668820LGsTJ_JPEG/movie_image.jpg?type=m203_290_2,9.36,"['판타지', '모험', '액션', '전쟁']","['반지', '제왕', '왕', '귀환', '영화', '수', '말', '때', '촬영', '편', '가장', '개', '생각', '장면', '아라곤']",피터 잭슨,"['일라이저 우드', '숀 애스틴', '앤디 서키스', '이안 맥켈런', '리브 타일러']"
헌터 킬러,https://movie-phinf.pstatic.net/20181212_219/1544577062842KarfK_JPEG/movie_image.jpg?type=m203_290_2,9.37,"['액션', '스릴러']","['잠수함', '헌터', '킬러', '해군', '액션', '수', '실제', '영화', '제라드', '버틀러', '핵잠수함', '제작', '세트', '위해', '상황']",도노반 마시,"['제라드 버틀러', '게리 올드만', '커먼', '미카엘 니크비스트', '제인 홀츠']"
동주,https://movie-phinf.pstatic.net/20160205_299/1454651273096sYmsK_JPEG/movie_image.jpg?type=m203_290_2,9.37,['드라마'],"['동주', '윤동주', '영화', '몽규', '시인', '청춘', '수', '시대', '감독', '청년', '이준익', '가장', '더욱', '흑백', '강하늘']",이준익,"['강하늘', '박정민', '김인우', '최홍일', '김정팔']"
굿바이 마이 프랜드,https://movie-phinf.pstatic.net/20111222_51/1324565484058LDGWr_JPEG/movie_image.jpg?type=m203_290_2,9.35,['드라마'],"['덱스터', '에릭', '엄마', '병', '약', '소년', '호기심', '날', '옆집', '대한', '친구', '뉴올리언즈', '불치', '이혼', '장난']",피터 호튼,"['조셉 마젤로', '브래드 렌프로', '다이아나 스카위드', '브루스 데이비슨', '아나벨라 시오라']"
캐스트 어웨이,https://movie-phinf.pstatic.net/20111222_155/1324482759519Uvkyl_JPEG/movie_image.jpg?type=m203_290_2,9.36,"['드라마', '모험']","['캘리', '섬', '시간', '사랑', '채', '비행기', '이용', '페덱스', '파도', '모든', '나무', '기약', '이브', '못', '전세계']",로버트 저메키스,"['톰 행크스', '헬렌 헌트', '닉 서시']"
여인의 향기,https://movie-phinf.pstatic.net/20111222_152/1324529496355rYAnm_JPEG/movie_image.jpg?type=m203_290_2,9.35,"['드라마', '코미디']","['슬레이드', '찰리', '중령', '아르바이트', '주말', '교내', '뉴욕', '식당', '동안', '집', '새', '사이', '리무진', '호텔', '그날']",마틴 브레스트,"['알 파치노', '크리스 오도넬', '제임스 레브혼', '가브리엘 앤워', '필립 세이모어 호프만']"
주토피아,https://movie-phinf.pstatic.net/20160217_153/1455686083975zjajH_JPEG/movie_image.jpg?type=m203_290_2,9.35,"['애니메이션', '액션', '모험', '코미디', '가족']","['토피아', '동물', '애니메이션', '디즈니', '사건', '도시', '캐릭터', '관객', '수', '연기', '스토리', '배우', '살', '여우', '작품']",바이론 하워드,"['지니퍼 굿윈', '제이슨 베이트먼', '샤키라', '이드리스 엘바', '알란 터딕']"
히든 피겨스,https://movie-phinf.pstatic.net/20170323_41/14902311518230x8pp_JPEG/movie_image.jpg?type=m203_290_2,9.35,['드라마'],"['히든', '피겨', '영화', '여성', '흑인', '음악', '연기', '그녀', '인물', '우주', '미국', '천재', '최초', '캐서린', '등']",데오도르 멜피,"['타라지 P. 헨슨', '옥타비아 스펜서', '자넬 모네', '케빈 코스트너', '커스틴 던스트']"
세 얼간이,https://movie-phinf.pstatic.net/20161005_215/1475647328961ETC6k_JPEG/movie_image.jpg?type=m203_290_2,9.34,['코미디'],"['얼간이', '영화', '흥행', '인도', '인도영화', '수', '장면', '교육', '배우', '이름', '위', '촬영', '칸', '평점', '역대']",라지쿠마르 히라니,"['아미르 칸', '마드하반', '셔먼 조쉬', '카리나 카푸르', '보만 이라니']"
클레멘타인,https://movie-phinf.pstatic.net/20111222_33/1324533894503h3QAH_JPEG/movie_image.jpg?type=m203_290_2,9.34,"['액션', '드라마']","['액션', '미국', '승현', '세계', '영화', '스티븐', '클레멘타인', '배우', '최고', '태권도', '수', '사랑', '이종격투기', '철', '황종']",김두영,"['이동준', '김혜리', '스티븐 시걸', '은서우', '기주봉']"
"지금, 만나러 갑니다",https://movie-phinf.pstatic.net/20180403_286/1522736958040KRAkQ_JPEG/movie_image.jpg?type=m203_290_2,9.34,"['멜로/로맨스', '드라마', '판타지']","['사랑', '비', '유우', '타쿠미', '계절', '엄마', '운명', '세상', '알', '거짓말', '순간', '시작', '기적', '사람', '지금']",도이 노부히로,"['다케우치 유코', '나카무라 시도', '다케이 아카시', '히라오카 유타', '오오츠카 치히로']"
타이타닉,https://movie-phinf.pstatic.net/20181129_107/1543452551390CN9TW_JPEG/movie_image.jpg?type=m203_290_2,9.34,"['멜로/로맨스', '드라마']","['영화', '작업', '타이타닉', '카메론', '제임스', '다시', '수', '기술', '관객', '변환', '복원', '필름', '말', '장면', '전세계']",제임스 카메론,"['레오나르도 디카프리오', '케이트 윈슬렛', '빌리 제인', '캐시 베이츠', '프란시스 피셔']"
쉰들러 리스트,https://movie-phinf.pstatic.net/20190122_81/1548118455965SCCSW_JPEG/movie_image.jpg?type=m203_290_2,9.34,"['드라마', '전쟁']","['유태인', '오스카', '회계사', '학살', '노동', '스턴', '인수', '고용', '점령', '시작', '도시', '마침내', '사업가', '결심', '위해']",스티븐 스필버그,"['리암 니슨', '벤 킹슬리', '랄프 파인즈', '캐롤라인 구덜', '조나단 사갈']"
언터처블: 1%의 우정,https://movie-phinf.pstatic.net/20120206_287/1328516303779LrC9h_JPEG/movie_image.jpg?type=m203_290_2,9.34,"['코미디', '드라마']","['영화', '우정', '필립', '프랑스', '언터처블', '흥행', '감동', '때문', '관객', '수', '위', '음악', '연기', '사람', '기록']",올리비에르 나카체,"['프랑수아 클루제', '오마 사이', '앤 르 니', '클로딜 몰레', '알바 가이아 크라게데 벨루기']"
